Floor,Location index,AVE (dBm),MED (dBm),Center Freq(MHz),Counts (/100),AP_name
3,as,-84,-83,2437,21,AP-C2-2F-02
3,as,-78.86666667,-78,2437,30,AP-C2-2F-03
3,as,-71,-71,2437,63,AP-C2-3F-01
3,as,-73.7,-73,2437,70,AP-C2-3F-02
3,as,-61.58064516,-62,2437,93,AP-C2-3F-03
3,as,-83.5,-83.5,2437,42,AP-C2-4F-01
3,as,-83,-83,2437,7,AP-C2-4F-02
3,as,-74.76666667,-75,2437,30,AP-C2-4F-03
3,as,-86,-86,2437,7,AP-C2-5F-03
3,as,-78.6,-79,2437,35,AP-C3-1F-02
3,as,-78.5,-78.5,2437,14,AP-C3-2F-01
3,as,-71.17241379,-71,2437,58,AP-C3-2F-02
3,as,-57.67,-58,2437,100,AP-C3-2F-03
3,as,-67.46236559,-68,2437,93,AP-C3-3F-01
3,as,-61.47,-61,2437,100,AP-C3-3F-02
3,as,-44.23,-45,2437,100,AP-C3-3F-03
3,as,-85.33333333,-85,2437,21,AP-C3-4F-01
3,as,-68.77419355,-68,2437,93,AP-C3-4F-02
3,as,-83,-83,2437,7,AP-C3-5F-02
3,as,-90,-90,5180,7,AP-C-3F-01
3,as,-90,-90,5180,35,AP-C2-2F-03
3,as,-85.6,-86,5180,35,AP-C2-3F-01
3,as,-69.32,-69,5180,100,AP-C2-3F-02
3,as,-71.86046512,-71,5180,86,AP-C2-3F-03
3,as,-87.83333333,-88,5180,42,AP-C2-4F-03
3,as,-81.5,-81,5180,56,AP-C3-2F-03
3,as,-72.72727273,-72,5180,77,AP-C3-3F-01
3,at,-77.5,-77.5,2437,14,AP-C2-3F-03
3,at,-82,-82,2437,14,AP-C3-1F-02
3,at,-71.05882353,-71,2437,51,AP-C3-2F-01
3,at,-74.39130435,-75,2437,69,AP-C3-2F-02
3,at,-50.21,-50,2437,100,AP-C3-2F-03
3,at,-61.88172043,-62,2437,93,AP-C3-3F-01
3,at,-58.56,-59,2437,100,AP-C3-3F-02
3,at,-48.23,-48,2437,100,AP-C3-3F-03
3,at,-74.2,-75,2437,35,AP-C3-4F-01
3,at,-64.05063291,-64,2437,79,AP-C3-4F-02
3,at,-80.5,-80.5,2437,14,AP-C3-5F-02
3,at,-88.17647059,-89,5180,34,AP-C2-3F-02
3,at,-85.37974684,-86,5180,79,AP-C2-3F-03
3,at,-91,-91,5180,3,AP-C3-2F-02
3,at,-74.75342466,-74,5180,73,AP-C3-2F-03
3,at,-74.52325581,-73,5180,86,AP-C3-3F-01
3,at,-66.59,-67,5180,100,AP-C3-3F-02
3,at,-52.46,-52,5180,100,AP-C3-3F-03
3,au,-82.33333333,-83,2437,21,AP-C2-3F-02
3,au,-77.22727273,-77,2437,22,AP-C2-3F-03
3,au,-76,-76,2437,14,AP-C3-1F-02
3,au,-77.5,-78,2437,42,AP-C3-2F-01
3,au,-75.42,-75,2437,50,AP-C3-2F-02
3,au,-43.83,-44,2437,100,AP-C3-2F-03
3,au,-70.29487179,-70,2437,78,AP-C3-3F-01
3,au,-47.43,-47,2437,100,AP-C3-3F-02
3,au,-40.09,-39,2437,100,AP-C3-3F-03
3,au,-73.52325581,-73.5,2437,86,AP-C3-4F-01
3,au,-60.16,-60,2437,100,AP-C3-4F-02
3,au,-77.83333333,-77,2437,42,AP-C3-5F-02
3,au,-84.01388889,-83.5,5180,72,AP-C2-3F-03
3,au,-92,-92,5180,7,AP-C3-2F-02
3,au,-65.61,-65,5180,100,AP-C3-2F-03
3,au,-73.42307692,-73,5180,78,AP-C3-3F-01
3,au,-70.57,-70.5,5180,100,AP-C3-3F-02
3,au,-50.92,-50.5,5180,100,AP-C3-3F-03
3,au,-90.5,-90.5,5180,14,AP-C3-4F-01
3,au,-83,-83,5180,7,AP-C3-4F-02
3,av,-78,-78,2437,7,AP-C2-3F-03
